업종 분류,산업분류코드,융자 제외 업종
제조업,33402 中,불건전 영상게임기 제조업
제조업,33409 中,"도박기계 및 사행성, 불건전 오락기구 제조업"
건설업,41～42,"건설업(단, 산업 생산시설 종합 건설업(41225), 환경설비 건설업(41224), 조경 건설업(41226), 배관 및 냉·난방 공사업(42201), 건물용 기계·장비 설치 공사업(42202), 승강설비 설치 공사업(42203), 방음, 방진 및 내화 공사업(42204), 소방시설 공사업(42205), 전기 및 통신공사업(423)은 지원가능 업종)"
도매 및 소매업,46102 中,담배 중개업
도매 및 소매업,46~47 中,"도박기계 및 사행성, 불건전 오락기구 중개 및 도소매업, 사행성, 사치성 상품 중개업 및 도소매업, 주류, 담매 소매업"
도매 및 소매업,"46331, 3","주류, 담배 도매업"
도매 및 소매업,47859 中,성인용품 판매점
도매 및 소매업,47993 中,다단계 방문판매
숙박 및 음식점업,5621,주점업
정보통신업,58 中,"경마, 경륜, 경정 등 사행성 잡지 발행업, 불건전 게임소프트웨어 개발 및 공급업"
정보통신업,59142,비디오물 감상실 운영업
정보서비스업,63992,가상자산 매매 및 중개업
정보서비스업,63999 中,온라인게임 아이템 중개업
금융 및 보험업,64～66,"금융 및 보험업(단, 정보통신기술을 활용한 핀테크 기업 중 그 외 기타 금융 지원 서비스업(66199)은 지원 가능)"
부동산업,68,부동산업
전문서비스업,711~2,"법무, 회계 및 세무 관련 서비스업"
전문서비스업,7151,회사본부
수의업,731,수의업
사업 지원 서비스업,75330,탐정 및 조사 서비스업
사업 지원 서비스업,75995 中,온라인을 통한 경품용 상품권 발행업 또는 판매업
사업 지원 서비스업,75999 中,경품용 상품권 발행업 또는 판매업
임대업,76390 中,"도박기계 및 사행성, 불건전 오락기구 임대업"
"공공행정, 국방 및 사회보장 행정",84,"공공행정, 국방 및 사회보장 행정"
교육서비스업,851~854,초중고등 교육기관 및 특수학교
교육서비스업,855~856 中,일반교과 및 입시 교육
보건업,86,"보건업 (단, 사회적경제기업은 지원 가능) "
"예술, 스포츠 및 여가관련 서비스업",91113,경주장 및 동물 경기장 운영업
"예술, 스포츠 및 여가관련 서비스업",9124,사행시설 관리 및 운영업
"예술, 스포츠 및 여가관련 서비스업",91291,무도장 운영업
협회 및 단체,94,"협회 및 단체 (단, 중소기업 기본법 제2조 중소기업자에 해당하는 경우 지원가능)"
기타 개인 서비스업,96992,점술 및 유사서비스업
가구 내 고용 및 자가소비 생산활동,97～98,가구 내 고용활동 및 별도로 분류되지 않는 자가소비 생산활동
국제 및 외국기관,99,국제 및 외국기관
