구분,1년미만건수(단위_개),1년미만금액(단위_백만원),3년미만건수(단위_개),3년미만금액(단위_백만원),5년미만건수(단위_개),5년미만금액(단위_백만원),7년미만건수(단위_개),7년미만금액(단위_백만원),10년미만건수(단위_개),10년미만금액(단위_백만원),15년미만건수(단위_개),15년미만금액(단위_백만원),20년미만건수(단위_개),20년미만금액(단위_백만원),20년이상건수(단위_개),20년이상금액(단위_백만원)
혁신창업사업화,1762,269514,2964,487933.8011,1916,435242.1843,1573,389125.9375,291,89011.45,255,61767,146,43763.8625,222,59441.763
창업기반지원,1726,264624,2833,466823.8011,1776,407058.2279,1455,360357.22,57,36836.75,1,100,0,0,0,0
창업기반지원(일반),624,135444,1589,314323.8011,1646,392098.2279,1431,356997.22,57,36836.75,1,100,0,0,0,0
청년전용창업(일반),1016,117930,872,106970,1,100,0,0,0,0,0,0,0,0,0,0
청년전용창업(융복합),86,11250,372,45530,129,14860,24,3360,0,0,0,0,0,0,0,0
개발기술사업화,36,4890,131,21110,140,28183.95643,118,28768.7175,234,52174.7,254,61667,146,43763.8625,222,59441.763
신성장기반,57,32194,147,54981.9995,195,85449,112,47168,607,225665,795,292083,494,218124,733,355445
혁신성장지원,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
혁신성장지원(일반),39,13424,83,22084.9995,75,22590,29,8620,451,132558,535,156409,310,107993,418,147071
협동화,3,750,26,5300,49,12680,50,11953,49,10230,62,16312,28,8420,44,14355
제조현장스마트화,9,8350,22,15442,47,40687,16,12619,85,70387,149,91375,115,75505,199,152245
Net-Zero 유망기업 지원,6,9670,16,12155,21,6792,11,9626,16,8380,39,19707,24,12166,34,15254
스케일업금융,0,0,0,0,3,2700,6,4350,6,4110,10,8280,17,14040,38,26520
신시장진출지원,64,7950,281,41175,266,45290,231,43760,310,57405,445,98520,268,65590,413,122760
내수기업 수출기업화,46,4590,186,24690,158,23370,145,22460,175,29770,221,42960,119,24070,127,28090
수출기업 글로벌화,18,3360,95,16485,108,21920,86,21300,135,27635,224,55560,149,41520,286,94670
긴급경영안정,6,680,97,13573,150,26164,197,34085,465,85123,667,123354,431,91391,733,175630
일시적경영애로,4,550,68,9040,121,20656,165,29465,378,72136,544,103026,350,78622,552,144200
재해중소기업,2,130,29,4533,29,5508,32,4620,87,12987,123,20328,81,12769,181,31430
재도약지원,90,19359,273,48033,337,94662,294,81503,241,93397,345,133132,208,84399,449,195615
사업전환,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사업전환(일반),0,0,3,2500,25,19756,34,11118,94,52050,142,76842,93,53799,225,123935
통상변화대응,0,0,0,0,1,200,2,350,4,650,12,2700,7,1850,14,4250
재창업,88,19209,262,44933,279,68356,202,58185,16,9317,0,0,0,0,0,0
구조개선전용,2,150,8,600,32,6350,56,11850,127,31380,191,53590,108,28750,210,67430
밸류체인안정화,0,0,13,1589.549384,97,21585.1264,93,16953.56492,108,23005.43548,203,34386.06292,152,30435.38526,219,70544.87563
매출채권팩토링,0,0,12,1240.025384,69,8578.45668,66,9830.354716,79,9416.842916,144,11831.33871,95,10304.65092,87,7798.330666
동반성장네트워크론,0,0,1,349.524,28,13006.66972,27,7123.2102,29,13588.59256,59,22554.72421,57,20130.73434,132,62746.54497
통상리스크대응긴급,2,300,11,2050,23,6130,30,6400,46,11770,63,19310,52,15840,104,38200
