구분,신청건수,신청금액(백만원),지원결정건수,지원결정금액(백만원),대출건수,대출금액(백만원)
혁신창업사업화,10454,2412877,9101,1933902,9129,1835799.998
창업기반지원,9078,2051632,7815,1628420,7848,1535799.999
창업기반지원(일반),5820,1583717,5307,1327420,5348,1235799.999
청년전용창업(일반),2582,374830,1894,225550,1889,225000
청년전용창업(융복합),676,93085,614,75450,611,75000
개발기술사업화,1376,361245,1286,305482,1281,299999.9994
신성장기반,3293,2896486,2946,1442106,3140,1311110
혁신성장지원,2384,882316,2210,751789,2251,690749.9995
혁신성장지원(일반),2057,785888,1901,670187,1940,610749.9995
협동화,327,96428,309,81602,311,80000
제조현장스마트화,560,603511,527,531373,642,466610
Net-Zero 유망기업 지원,148,120349,129,98944,167,93750
스케일업금융,201,1290310,80,60000,80,60000
신시장진출지원,2440,567663,2282,486026,2278,482450
내수기업 수출기업화,1277,236440,1178,200900,1177,200000
수출기업 글로벌화,1163,331223,1104,285126,1101,282450
긴급경영안정,2880,655231,2715,543705,2746,550000
일시적경영애로,2316,532892,2182,458588,2182,457695
재해중소기업,564,122339,533,85117,564,92305
재도약지원,2325,867882,2155,770242,2237,750100
사업전환,603,386423,581,358101,656,350000
사업전환(일반),564,376073,542,348201,616,340000
통상변화대응,39,10350,39,9900,40,10000
재창업,964,257434,836,211141,847,200000
구조개선전용,758,224025,738,201000,734,200100
통상리스크대응긴급,350,113310,334,101000,331,100000
밸류체인안정화,1401,296747,0,0,885,198500
매출채권팩토링,1036,117379,0,0,552,59000
동반성장네트워크론,365,179368,0,0,333,139500
